timestamp,ticker,price,score,w_spread,st_spread
2026-06-23 14:13,NEE,86.63,2,8.66,1.17
2026-06-23 14:13,NRG,137.86,2,12.26,8.46
2026-06-23 14:13,PCG,16.81,3,6.66,4.18
2026-06-23 14:13,VST,163.61,3,11.18,1.71
2026-06-23 14:13,KTOS,51.69,0,38.41,22.76
2026-06-23 14:13,CELH,28.73,0,50.46,17.88
2026-06-23 14:13,SOFI,17.37,2,32.53,2.51
2026-06-23 14:13,UPWK,8.06,0,71.91,19.37
2026-06-23 14:13,CORZ,29.16,4,23.87,14.32
2026-06-23 14:13,CLS,351.98,3,24.34,12.07
2026-06-23 14:13,MRAM,23.22,3,57.31,34.13
2026-06-23 14:13,SSNC,65.84,0,17.21,2.7
2026-06-23 14:13,SMR,11.1,0,105.11,1.19
2026-06-23 14:13,OKLO,58.46,0,35.44,5.62
2026-06-23 14:13,SYM,38.64,0,21.11,6.23
2026-06-23 14:13,RKLB,96.26,3,39.03,20.22
2026-06-23 14:13,AMSC,42.55,3,25.02,17.83
2026-06-23 14:13,BMY,55.67,2,11.07,1.96
2026-06-23 14:13,BIIB,200.56,4,11.99,2.5
2026-06-23 14:13,CRSP,54.42,3,6.47,0.21
2026-06-23 14:13,NTLA,15.32,4,10.47,2.18
2026-06-23 14:13,BEAM,33.83,4,13.98,5.92
2026-06-23 14:13,RXRX,3.17,0,32.16,1.9
2026-06-23 14:13,RARE,29.12,3,13.19,5.34
2026-06-23 14:13,COST,961.07,2,4.18,0.25
2026-06-23 14:13,ORLY,87.23,0,6.24,1.17
2026-06-23 14:13,TDG,1286.71,4,5.51,0.57
2026-06-23 14:13,FISV,47.34,0,58.51,4.15
2026-06-23 14:13,APD,281.67,2,5.59,0.85
2026-06-23 14:13,PYPL,41.71,0,27.81,0.16
2026-06-23 14:13,IOT,31.27,1,11.19,2.5
2026-06-23 14:13,CIEN,456.97,3,50.62,14.07
2026-06-23 14:13,GFS,83.15,4,36.02,17.95
2026-06-23 14:13,PWR,714.41,4,28.55,10.82
2026-06-23 14:13,SITM,703.75,4,43.17,22.46
2026-06-23 14:13,LSCC,144.31,4,32.84,13.86
2026-06-23 14:13,ONTO,313.34,4,33.23,11.41
2026-06-23 14:13,AMKR,86.69,4,35.16,15.38
2026-06-23 14:13,AMD,519.79,4,39.41,23.75
2026-06-23 14:13,INTC,132.94,4,45.68,24.34
2026-06-23 14:13,MOD,278.12,4,31.7,10.21
2026-06-23 14:13,TOST,24.56,0,32.4,3.98
2026-06-23 14:13,FIG,19.63,0,37.08,7.29
2026-06-23 14:13,KLAR,17.86,2,35.87,6.07
2026-06-23 14:13,UPST,31.45,2,47.63,5.03
2026-06-23 14:13,LYFT,14.02,2,21.62,1.51
2026-06-23 14:13,OTLY,8.3,0,35.49,9.19
2026-06-23 14:14,AAPL,298.82,4,11.43,6.47
2026-06-23 14:14,MSFT,373.89,0,14.76,2.81
2026-06-23 14:14,GOOGL,346.53,3,22.22,9.69
2026-06-23 14:14,META,563.6,0,9.95,1.41
2026-06-23 14:14,NVDA,201.72,3,10.98,6.97
2026-06-23 14:14,V,329.72,3,4.11,2.21
2026-06-23 14:14,MA,488.48,0,8.85,1.3
2026-06-23 14:14,UNH,408.46,4,15.35,12.31
2026-06-23 14:14,LLY,1110.32,4,9.67,3.57
2026-06-23 14:14,JPM,334.22,4,2.46,2.42
2026-06-23 14:14,JNJ,237.55,4,11.06,2.02
2026-06-23 14:14,PG,150.79,3,1.18,1.18
2026-06-23 14:14,HD,326.0,1,11.54,4.23
2026-06-23 14:14,ABBV,233.93,4,1.28,0.08
2026-06-23 14:14,MRK,118.68,4,12.94,1.16
2026-06-23 14:14,TMO,466.2,1,12.72,3.28
